postUrl,postId,replyId,replyUrl,replyText,inReplyTo,timestamp,conversationId,media/0/id,media/0/mediaUrlHttps,media/0/type,media/1/id,media/1/mediaUrlHttps,media/1/type,media/2/id,media/2/mediaUrlHttps,media/2/type,media/3/id,media/3/mediaUrlHttps,media/3/type,author/description,author/favouritesCount,author/followersCount,author/friendsCount,author/name,author/screenName,replyCount,quoteCount,repostCount,favouriteCount,viewsCount
https://x.com/iMPACTPH2019/status/1966730623055524065,1966730623055524065,1966730623055524065,https://x.com/iMPACTPH2019/status/1966730623055524065,"ANTI-CORRUPTION GROUPS HOLD MASS AND RALLY AT EDSA SHRINE TO CONDEMN FLOOD CONTROL CORRUPTION

Tindig Pilipinas, NAGKAISA! Labor Coalition, Kalipunan ng Kilusang Masa, Simbahan at Komunidad Laban sa Katiwalian, and other pro-democracy organizations held a mass and rally on Wednesday, September 11, at the historic EDSA Shrine to denounce alleged large-scale corruption in flood control projects.

The groups said billions of pesos intended to shield Filipinos from the impact of floods were lost to ghost projects, kickbacks, and collusion between politicians and contractors. They described the scandal as another betrayal of the Filipino people, particularly the poor and vulnerable who suffer the most during floods and climate disasters.

""We cannot stay silent while our money is being stolen, while our people drown in both floods and corruption,"" said Kiko Aquino Dee, convenor of Tindig Pilipinas.

""Every peso pocketed by these corrupt officials is a classroom not built, a health center left unfinished, and flood protection denied to our communities. That is why we demand: buuin na ang isang independent commission to investigate this massive corruption, and release the SALNs of all public officials involved. Transparency and accountability must begin now,"" he added.

Judy Ann Chan Miranda of the NAGKAISA! Labor Coalition said the issue was a matter of moral urgency. ""This is not just about corruption, it is about life and death, justice and injustice. The billions stolen from flood control projects could have saved lives and livelihoods. We gather at EDSA Shrine because we believe that, once again, the Filipino people must rise to demand truth, accountability, and reform.""

The coalition stressed that the EDSA Shrine—long a symbol of people power against tyranny and abuse—was the rightful venue for Filipinos to declare their stand.

""Our call is simple: end corruption, hold the thieves accountable, and return the money to the people. Gawin nating kadiri muli ang kurapsyon,"" Dee said.",,1757740095000,1966730623055524065,1966730609063325697,https://pbs.twimg.com/media/G0s7EZobcAErfli.jpg,photo,,,,,,,,,,Building the nation by raising the next generation of transformational leaders.,693,28683,114,iMPACT Leadership,iMPACTPH2019,29,9,495,1790,33722
https://x.com/iMPACTPH2019/status/1966730623055524065,1966730623055524065,1967222561705762866,https://x.com/KeannaMore/status/1967222561705762866,"@iMPACTPH2019 Andaming trolls against Kiko Dee, nakakalungkot.",1966730623055524065,1757857382000,1966730623055524065,,,,,,,,,,,,,,7668,61,1210,backtobasic,KeannaMore,0,0,0,0,53
https://x.com/iMPACTPH2019/status/1966730623055524065,1966730623055524065,1966989876345369080,https://x.com/silvermoon004x/status/1966989876345369080,@iMPACTPH2019 aquino nanaman ang nangunguna lmao,1966730623055524065,1757801906000,1966730623055524065,,,,,,,,,,,,,a nut head in w3,2131,12,185,gamonon {•Demon Lord•},silvermoon004x,0,0,0,0,140
https://x.com/iMPACTPH2019/status/1966730623055524065,1966730623055524065,1966745008910069846,https://x.com/happeea/status/1966745008910069846,@iMPACTPH2019 GodBless Our Country tama na sobra na!,1966730623055524065,1757743525000,1966730623055524065,,,,,,,,,,,,,,43856,823,291,#Gising Pilipinas!!!,happeea,1,0,0,3,338
https://x.com/iMPACTPH2019/status/1966730623055524065,1966730623055524065,1966771076156842303,https://x.com/mal111g/status/1966771076156842303,@iMPACTPH2019 ,1966730623055524065,1757749740000,1966730623055524065,,,,,,,,,,,,,"For transparency, accountability, good governance, and a progressive economy.",10143,33,19,Gafe,mal111g,0,0,0,1,286
https://x.com/iMPACTPH2019/status/1966730623055524065,1966730623055524065,1966842367929184478,https://x.com/altGenie/status/1966842367929184478,@iMPACTPH2019 Kiko Barzaga &gt; Kiko Dee,1966730623055524065,1757766737000,1966730623055524065,,,,,,,,,,,,,,28944,1580,161,Gene Altamonte,altGenie,4,0,2,12,442
https://x.com/iMPACTPH2019/status/1966730623055524065,1966730623055524065,1967041733176553892,https://x.com/potpot1920/status/1967041733176553892,"@iMPACTPH2019 SEPTEMBER 21, 2025
“Fix it, Finish it, No Cost to Filipinos!""

Contractors to sign binding agreements to redo substandard flood control projects and complete ghost projects — at zero cost to the Philippine government and the Filipino people.

#LOUDER 
#FloodControlProjects https://t.co/dLdi0Z7EWF",1966730623055524065,1757814269000,1966730623055524065,1967041730295054336,https://pbs.twimg.com/media/G0xWCCibQAAtXQl.jpg,photo,,,,,,,,,,"Not a troll. Half human, half bird",12819,172,249,Pot Pot,potpot1920,0,0,0,0,56
https://x.com/iMPACTPH2019/status/1966730623055524065,1966730623055524065,1966860408591171972,https://x.com/TenBrans/status/1966860408591171972,@iMPACTPH2019 The man doesn’t know how a Filipino lives his life.,1966730623055524065,1757771038000,1966730623055524065,,,,,,,,,,,,,Love and Peace! ,47378,1200,1926,Tender Branson,TenBrans,0,0,0,0,141
https://x.com/iMPACTPH2019/status/1966730623055524065,1966730623055524065,1966775353218593232,https://x.com/Generalcol07/status/1966775353218593232,@iMPACTPH2019 Ok good ,1966730623055524065,1757750759000,1966730623055524065,,,,,,,,,,,,,:3,12,17,18,General colonel,Generalcol07,0,0,0,0,237
https://x.com/iMPACTPH2019/status/1966730623055524065,1966730623055524065,1967387685024301557,https://x.com/BortangTagaod/status/1967387685024301557,@iMPACTPH2019 Nakawala na naman sa mental.,1966730623055524065,1757896751000,1966730623055524065,,,,,,,,,,,,,,68,6,4,Bortang Tagaod,BortangTagaod,0,0,0,0,19
