Comments,Source
"Hahahaha sakripisyo natawag ba Yun, alam n ng lahat kung Anu ang totoo nagyari",https://www.facebook.com/photo/?fbid=1279436697548194&set=a.647063400785538
",ulol di nagsakrepisyo yan magnakaw siguro",https://www.facebook.com/photo/?fbid=1279436697548194&set=a.647063400785539
lalabas sakit nyan..😁,https://www.facebook.com/photo/?fbid=1279436697548194&set=a.647063400785540
Pagkatapos mo g kurakautin kapal Ng Mukha mo,https://www.facebook.com/photo/?fbid=1279436697548194&set=a.647063400785541
Sinung niloko mu,https://www.facebook.com/photo/?fbid=1279436697548194&set=a.647063400785542
aalis na yn ng bansa.,https://www.facebook.com/photo/?fbid=1279436697548194&set=a.647063400785543
Ywa nga sakripisyo 😂😂😂🤡🤡🤡,https://www.facebook.com/photo/?fbid=1279436697548194&set=a.647063400785544
"Oo, sinakripisyo ang kinabukasan ng ating bansa para tumaba ang mga buwaya sa Kongreso
#MarcosVsPhilippines",https://www.facebook.com/photo/?fbid=1279436697548194&set=a.647063400785545
Kalokohan hahhhaaha,https://www.facebook.com/photo/?fbid=1279436697548194&set=a.647063400785546
KUROKONGHO BAGA UG PACE KA,https://www.facebook.com/photo/?fbid=1279436697548194&set=a.647063400785547
Ulol sira ulo,https://www.facebook.com/photo/?fbid=1279436697548194&set=a.647063400785548
Di nga?,https://www.facebook.com/photo/?fbid=1279436697548194&set=a.647063400785549
Mahal nya Pera Ng bayad,https://www.facebook.com/photo/?fbid=1279436697548194&set=a.647063400785550
"Madre Mia , Boooooo",https://www.facebook.com/photo/?fbid=1279436697548194&set=a.647063400785551
Master magnanakaw ...leader of thieves,https://www.facebook.com/photo/?fbid=1279436697548194&set=a.647063400785552
"Sacrifice ba kamo tangaaaaa, wala cya nun taongbayan ang nagsasakripisyo isa ka pang engot ,, magkano parte mo Cong Cong ,,,, Dios na bahala sa inyo sampo nang lahi nyo ,, masusunog sa dagat dagatang apoy ,😤😤😤😤",https://www.facebook.com/photo/?fbid=1279436697548194&set=a.647063400785553
"Tapos na tayo sa paawa ipik, ubos nyo na ang trillion ngayon p tlga magdrama",https://www.facebook.com/photo/?fbid=1279436697548194&set=a.647063400785554
ayiee,https://www.facebook.com/photo/?fbid=1279436697548194&set=a.647063400785555
Sakripisyo your foot... pavictim na amp,https://www.facebook.com/photo/?fbid=1279436697548194&set=a.647063400785556
loslolos nmo hahah murason pagyud kunohay hha gaba,https://www.facebook.com/photo/?fbid=1279436697548194&set=a.647063400785557
Nasaan na yung mga pera na kinuha nya? Ma TY ra?,https://www.facebook.com/photo/?fbid=1279436697548194&set=a.647063400785558
Kangkong galing nyo talaga mag manipulate 8080 nalang maniniwala sainyo😂,https://www.facebook.com/photo/?fbid=1279436697548194&set=a.647063400785559
Mahal din yung nawala sa kaban,https://www.facebook.com/photo/?fbid=1279436697548194&set=a.647063400785560
Step down or Takas 🤣🤣,https://www.facebook.com/photo/?fbid=1279436697548194&set=a.647063400785561
Good move!,https://www.facebook.com/photo/?fbid=1279436697548194&set=a.647063400785562
KUPAL,https://www.facebook.com/photo/?fbid=1279436697548194&set=a.647063400785563
Mahal nya Yun Pera Ng pilipinas mga ulul,https://www.facebook.com/photo/?fbid=1279436697548194&set=a.647063400785564
Nako mahal daw niya lahat ng pera ng taong bayan.hahahha,https://www.facebook.com/photo/?fbid=1279436697548194&set=a.647063400785565
buko na sya..bawiin mga pera ninakaw,https://www.facebook.com/photo/?fbid=1279436697548194&set=a.647063400785566
Sakripisyo?wow! Nahiya naman ang taumbayan sa kanya.,https://www.facebook.com/photo/?fbid=1279436697548194&set=a.647063400785567
Weehhhh d nga..bka mhal nya ung pera ng plipinas 😂😂😂🐊🐊🐊,https://www.facebook.com/photo/?fbid=1279436697548194&set=a.647063400785568
... kaya pala ninakaw KABAN ng bayan! I salute you Sir!,https://www.facebook.com/photo/?fbid=1279436697548194&set=a.647063400785569
ok lang KMJS hnd mawala gantung episode nyo kada linggo para malaman ng taong bayan mga kagarapalan ng mga korap sa pinas !!,https://www.facebook.com/watch/?v=4243492582599046
Kasohan na yan. Anu pa ba hinihintay ng ating gobyerno? Hays,https://www.facebook.com/watch/?v=4243492582599047
aup na mga discaya ini..Baka sa Pluto n mars igwa pa ini dae tinapos n contrata😑,https://www.facebook.com/watch/?v=4243492582599048
Sa IBA ZAMBALES meron din 2 project ang mga Discaya hindi pa tapos... Terminated na.,https://www.facebook.com/watch/?v=4243492582599049
Wala daw nanghihingi sa panahon na yan sabi ng Discaya,https://www.facebook.com/watch/?v=4243492582599050
Kaya nakakaduda yung binigay nilang (Discaya) pangalan sa listahan.,https://www.facebook.com/watch/?v=4243492582599051
Ang daming perang nasasayang.,https://www.facebook.com/watch/?v=4243492582599052
Tapos SI marcobeta nagpupumilit gawing state witness ang mga discaya. Bakit kaya.,https://www.facebook.com/watch/?v=4243492582599053
Tinago ba naman pera hahah,https://www.facebook.com/watch/?v=4243492582599054
Wag bigyan ng budget kasi may budget na nakaallot na dyan eh. Naibigay na sa kanila. Naipambili na yata ng luho. Need nila yang gawin at tapusin.,https://www.facebook.com/watch/?v=4243492582599055
Sorry ndi na natuloy ang gnda kase ng payong😂😭,https://www.facebook.com/watch/?v=4243492582599056
Maka pa high blood mayo met nga contactor.,https://www.facebook.com/watch/?v=4243492582599057
",dagdag sa stress ko kamo mga napapanood ko😬",https://www.facebook.com/watch/?v=4243492582599058
Dapat ikulong na sila,https://www.facebook.com/watch/?v=4243492582599059
"Grabe Perwisyo ng nga Discaya. Tapos gusto pa ni Marcoleta gawing state witness, at hndi na need ibanalik ang mga nakuhang funds. ",https://www.facebook.com/watch/?v=4243492582599060
Grabe kayo habang yung ibang pilipino nag hihirap kayong mga discaya nagpapakasasa sa perang dinyo pinag hirapan,https://www.facebook.com/watch/?v=4243492582599061
ka mga inuuutiiiil!!!!,https://www.facebook.com/watch/?v=4243492582599062
Kawawa tlga ang pilipinas,https://www.facebook.com/watch/?v=4243492582599063
Kita mulang !!!dapat sa mga kurap bitayon!!,https://www.facebook.com/watch/?v=4243492582599064
"aah walang konsensya ai, kakapal ng mukha!",https://www.facebook.com/watch/?v=4243492582599065
autolock sa kaban ng bayan🫠,https://www.facebook.com/watch/?v=4243492582599066
Cno kasabwat ng mga Discaya sa gobyerno sa school buildings na ito? Tapos sasabihin sa Blue ribbon committee walang nangurakot sa panahon ni Duterte 😂😂😂,https://www.facebook.com/watch/?v=4243492582599067
"Discaya dapat bawiin Pera sa knila at ikulong Sila ng 30 years walang Lugar dapat sa Pilipinas Ang mga magnanakaw pati mga Congressman na sangkot ikulong at bawiin Pera sa knila Hindi pwd na anim na taon lng sa kulongan 30 years dapat para Hindi nrin nila maenjoy Pera nila dahil NASA kulongan na Sila no mercy sa mga magnanakaw pati Yung mga engineer na sangkot 30 years na kulong Ang hirap kumita ng Pera Sila susugal lng sa mga casino Yung Discaya nmn habit mamili ng mga mamahaling sasakyan kakapal ng mukha ghost project nmn pla ginagawa no mercy sa mga magnanakaw
",https://www.facebook.com/watch/?v=4243492582599068
Dapat ikolong na pinatagal pa eh Kong mahirap pa yan kolong agad may inbestigadyon man piro parang bola at nakokolong na yan mahirap batas d2 unfair,https://www.facebook.com/watch/?v=4243492582599069
Gusto Nyo ilipat ang ang pundo tsa pagpapatayo ng mga school Yun pala kinukurakot parin ng mga buwaya sa gobyerno arayKo!!! Kawawang mga taxpayer buwis buhay ninanakaw lang naman ng mga buwaya na di mabusog busog,https://www.facebook.com/watch/?v=4243492582599070
"Garapal at ganid as in.
Deserve ba nilang maging state witness,duhhh🥴🙄",https://www.facebook.com/watch/?v=4243492582599071
Inuna Ng ibili nila mga luxury cars nila ksa sa mga construction projects nila. Nkakagigil tas gusto pa nsa witness protection pa mga deputa,https://www.facebook.com/watch/?v=4243492582599072
Dapat makulong ang mga magnanakaw,https://www.facebook.com/watch/?v=4243492582599073
Pinambili ng sasakyan na may payong kasi eh 😅 kawawang Bansa,https://www.facebook.com/watch/?v=4243492582599074
saan kaya nakakakuha ng kapal ng mukha pamilya nayan,https://www.facebook.com/watch/?v=4243492582599075
Nakakagalit sobrang kademonyohan,https://www.facebook.com/watch/?v=4243492582599076
naging sports car kc ung school kya ganun,https://www.facebook.com/watch/?v=4243492582599077
"hayp na mga buwaya ini, bako lang futuro hinahabon nindo pati buhay na lumalaban sa kamatian ta pati ospital hinabunan nindo.",https://www.facebook.com/watch/?v=4243492582599078
Ngayon mag lalabasan na ang mga proyekto na kanilang ginagawa na hindi natapos dahil wala nang budget kasi nasa bulsa na nila,https://www.facebook.com/watch/?v=4243492582599079
Ibenta natin ung Bahay nila at kunin lahat kayamanan kasi nakaw din nman nila Pera taongbayan,https://www.facebook.com/watch/?v=4243492582599080
"Tapos gustong gawin state witness ni morcaleta,, stupil",https://www.facebook.com/watch/?v=4243492582599081
"nakakagalit talaga bilang Isang guro sa pampublikong paaralan...2018, 2025 na ngaun, sobrang pahirap talaga 🥺🥺🥺",https://www.facebook.com/watch/?v=4243492582599082
grabi gbuhat sa mga discaya,https://www.facebook.com/watch/?v=4243492582599083
napakatinde ng discaya kapal ng mukha ang daming bata ang makakapag aral pa sana sa mga sch bldg na yan,https://www.facebook.com/watch/?v=4243492582599084
Best decision ever.,https://www.facebook.com/watch/?v=4243492582599085
