comment_id,username,text,created_at_utc,like_count
17982103085851344,johnoycruz,"Exciteing how Marcoleta will protect Go, Escudero, Villanieva from flood control projects controversy. ALL leads bacl to Du30. 👏👏👏",2025-08-17 09:47:53+00:00,0
17940724349922263,kirstensclothing,"Si joy and magalon balimbing din Yan, Kay vico lang ako naniniwala jan",2025-08-17 13:32:05+00:00,0
17890724595314924,akosiantoniomahalkita,Mayor Vico and Magalong are the best 👏,2025-08-17 12:44:03+00:00,0
18087480217692886,rdclav,Maraming MAGNANAKAW sa Congress at sila2 mismo ang nagmamay ari ng mga construction company at sobra2 ang kickback ng mga kawatan,2025-08-17 12:03:58+00:00,0
18078476044756621,jennyblake2025,Ang congresso lang ang kontra sa ganyan dahil cgurado maraming makukulong. Mga crocodile,2025-08-17 08:49:47+00:00,0
18289193320255449,james.reyes.5209,The rests should follow his lead (if they trully wanna serve the country)... Philippine government is so corrupt. Everyone has its own agenda for their own sake. Hope Mayor Vico will run for the highest position. Hopefully he will change the government for the greater good 🙏,2025-08-17 18:13:39+00:00,0
18021556820772941,kizhia14344,halatang tinitira ang mga ayaw s administrasyon sila namn ang grabeng corruption,2025-08-18 23:48:44+00:00,0
18134738083439634,rpcboss,"Not only Mayors, kaming mamamayan ay ""FULL TRANSPARENCY"" ang kaylangan ipakita sa pagbabadyet at pag-gastos ng aming pera",2025-08-18 04:13:53+00:00,0
18042008399345931,burneraccount2045,Sana imbestigahan din nila yung mga mayors na contractors. 😂,2025-08-18 00:11:10+00:00,0
18171224152346730,burneraccount2045,"Let us support the move of these mayors, mas ok na magtiwala sa mga ito imbes sa mga proven ng mga magnanakaw. 😂",2025-08-18 00:10:47+00:00,0
18054510656388109,willdg93,Bat hindi kasali ang mayor ng Davao jan,2025-08-17 23:01:18+00:00,0
17897195154260642,jeremyadamhain,Believe it nothing will happen to this scandal. No a single corrupt politician or government agency will be accountable. We just watch all tax payers money drained down to their pockets. Should the president want a to be remember to be at least one has done good for the country is crack this down and put them in jail. Start a massive corruption campaign he then will be put into the history of turning to a positive vote,2025-08-17 21:18:22+00:00,0
18125292538475279,monikaloveabiera,"Yes yes yes, and death penalty too",2025-08-17 20:14:26+00:00,0
18116092819508103,villasenornimfa,I hope and pray that Mayor Vico would be the next president 2028,2025-08-17 19:26:29+00:00,0
18065027753214040,happy.pants,may more public official join this roster,2025-08-17 18:11:34+00:00,0
17940999225022278,personae_ignorantae,Philippines is healing step by step🩷,2025-08-17 15:08:45+00:00,0
17920724457015601,xerocl,Dapat si marsi andian. Jusko si joy laging dagat ang qc,2025-08-17 12:40:46+00:00,0
18066084449230974,itsmeannplata,"Proverbs 11:3, ""The integrity of the upright guides them, but the perversity of the faithless destroys them,"" emphasizing the destructive nature of corruption on an individual's character",2025-08-17 10:43:23+00:00,0
