comment_id,username,text,created_at_utc,like_count
17921991837147043,denbulatao,Maniniwala lang ako na hindi ito isang palabas lang kung talaga mapakukong nya sina Martin Romualdez at Zaldy Co ng habambuhay at walanv piyansa.,2025-09-15 02:14:40+00:00,0
17849008524528928,cynthiareyesescalante,"Sana nga totoo ang sinabi ni President BBM, katarungan ang pairalin🙏🏼🙏🏼",2025-09-15 02:03:03+00:00,0
18068341001184047,ace_1995,"Pag sure lang po Mr. President, aasahan po namin yan",2025-09-15 01:59:55+00:00,0
18059047508527363,almaurbien,Eto n pinkamsyang news🙌👏,2025-09-15 01:44:04+00:00,0
18056252054621961,00hershey00,Yeah right,2025-09-15 01:42:34+00:00,0
18385983211124101,lazziefaire,And then what? What will happen to the rest? What will happen to the money?,2025-09-15 03:33:41+00:00,0
18040509203427828,johnnyaye7,Alcantara di kasama? Ibang Distrito malinis ba? May nag tatanong na bata sa barangay namin,2025-09-15 01:35:44+00:00,0
18096079117725600,geruldistired,and henry alcantara???,2025-09-15 01:21:50+00:00,0
18040158671423433,ping.peri,E  si DE Alcantara? utusan lang ang mga eto a!,2025-09-15 03:05:57+00:00,0
18075691039864975,wellah_wellah,How about Alcantara???,2025-09-15 02:00:35+00:00,0
18324330052237936,cherrieadg,Leave credits should be forfeited too,2025-09-17 08:24:51+00:00,0
17978946620911823,happyanimalsclub,Why is it so cumbersome to fire obvious criminals 😩,2025-09-15 01:23:20+00:00,0
18384354424126978,rebyfiguer,Alcantara,2025-09-15 01:30:57+00:00,0
17970746201932092,gypsy_lurker_,grabe yang mga ambon ambon lang kinakasuhan nyo pero ung mga daang milyon ang kickback na politiko wala kayong bayag na imbestigahan!,2025-09-15 06:12:50+00:00,0
17968932131951676,peaceful_.earth.dropz,Papano ang mga bank account ni Martin Romualdez at Zaldy .. Mga naipundar at share . Balita ko bumili nang share sa ABS CBN 🤮🤮🤮🤮,2025-09-16 12:12:49+00:00,0
17880879531387738,living_life_full_888,"25 cases. 
May kasamang Senatongs? Tongressmen?",2025-09-12 13:40:03+00:00,0
18072375710276021,instag_rama24,Yun lang? 😂lol,2025-09-12 05:43:08+00:00,0
18099291385615899,bombomcortel,may congressman na ba?,2025-09-12 21:19:48+00:00,0
17961394289828667,bombomcortel,pls name the 25,2025-09-12 21:19:20+00:00,0
18023429585735229,aadj_jr,Nice,2025-09-12 00:46:22+00:00,0
18022367687551622,santosjohnnell,Start with the senators and congressmen,2025-09-11 23:56:01+00:00,0
18075406280515668,visionviews___,Lahat nh mga administration ni bbm imbestigahan,2025-09-13 13:53:52+00:00,0
18067569749190988,cdonnelly.yoginp,Pano naman ang mga senador at kongresista?,2025-09-13 22:56:25+00:00,0
18041283398656783,itsgemini.aehris,"VOX POPULI, VOX DEI🥺",2025-09-12 02:50:11+00:00,0
18528784168044249,mackdhonorable,Check nyo po ang Tarlac at Bohol flood control projects. Tiba tiba din ang DPWH engineers at congressmen dito. Iisang family lang ang constractor at congressman,2025-09-12 02:13:18+00:00,0
18136379578436319,regina.queenly,"based on the justice system in PH, the people behind these anomalies will only be formally charged and put to prison in around 18 years. saklap, by then hindi na trending ang balitang ito. at nakalimot na ang lahat. 

hindi naman sa masama ako, pero i think these politicians and contractors never thought of how the families impacted suffered on a day to day basis - gutom, baha, death, etc. Hence, the families of these politicians and contractors deserve the same suffering. p@kyu kayong lahat.",2025-09-12 03:26:58+00:00,0
18501736726071920,tom_leon2,Hurry up so we can get the korean investment for the shipyard,2025-09-12 04:59:49+00:00,0
18069584294227014,illusushina,Pero murder may bail??,2025-09-12 11:46:00+00:00,0
18541623172056214,ceef_gebe,"First,file a case to those congressmen involve! You only attack smaller fishes🫩",2025-09-12 10:31:14+00:00,0
18305136709220815,flaneur_manila,They should include Bonoan,2025-09-12 00:01:37+00:00,0
18497254468067211,missbellemartin1987,"Hanggang nakaupo si Marcos Jr, Martin romualdez, mga galamay nila, kapartido  at ang angkan nila walang mangyayari. Tuloy tuloy ang korapsyon. Lahat itatago na nila!!! BBM at Romualdez RESIGN na kayo!!!! Dapat na kayong patalsikin!!!!Magresign na kayo!!!!! 😡😡😡😡😡🤮🤮🤮🤮🤮🤮",2025-09-13 04:34:12+00:00,0
18116369404515638,missbellemartin1987,"Sabi nga sa kanta, hanggang sila ang nasa tuktok hindi matatapos itong gulo. Kaya, hanggang si Marcos Jr at Martin Romualdez ang nakaupo hindi matatapos ang korapsyon. Resign kana Marcos Jr at Romualdez!!!! Wag nyo antayin ang people power!!! 🇵🇭🇵🇭🇵🇭🇵🇭🇵🇭🇵🇭🇵🇭🇵🇭",2025-09-13 04:34:07+00:00,0
