Hashtags,Comments,Source
,tapos sasabihin ni marcoleta kahit wag na kunin ung ninakaw ng nga discaya. wow,Threads
,May padrino kasi na willing sila ipaglaban,Threads
,Grabeng ganid na talaga nila. Haayyy,Threads
,Alisin lahat sila sa trabaho ang daming bagong graduate jan na papalit,Threads
,I guess someone proposed na maging state witness sila kaya omitted din sa affidavit ung mga involved between 2016-2022 samantalang un ang peak ng income nila.,Threads
,Breeding ground ng mga sindikato ang Bulacan ha. Meeting place ba nila yan?,Threads
,Grabeh ... trillion pera na ninakaw sa Pilipino. Baka mapunta na tayo sa guiness world record,Threads
,Grabe talaga nga discaya at nga kasosyo nila!,Threads
,"Di nman porket state witness ka acquitted ka na, pano mahuhuli yun mga kumubra jan kung wala mag whistle blow.",Threads
,"Pag di nabitay mga Discaya, wala na talaga ang bansa",Threads
,So hinde kasali ung politician puro contractor lage ang may sala? Diba sila connected sa matatas na politician? Kung hinde tapos sana ung nakaupo sa district na yun pina follow up nya na hoy kelan matapos to? Diba parang bahay mo yan eh ano un ng pproject ka tapos ok lang hinde tapusin?,Threads
,Never Forget the Top of the Pyramid - Martin Romualdez and Zaldy Co,Threads
,Grabe! Ikulong! Freeze and confiscate all assets! Return the money to the people!!!?,Threads
,Grabe!!!,Threads
,Nakakapanlumo!!,Threads
,Grabeeeeeeeeeeeeeeeeeeeee,Threads
,Wag din kalimutan to :(,Threads
,"Infuriating! Sa ibang bansa meron din corruption, but not in this scale! Out of billions sinimot nyo talaga at napunta lahat sa bulsa nyo, wala man lang kayong itinira sa taumbayan. Grabe. 🤬😡 Minsan napapa-intrusive thoughts na talaga ako eh. I know we shouldn't wish bad things on others, but I do wish bad things na talaga on these people. 😝",Threads
,"Salamat, @km_jessica_soho sa programa mo! Sa pamamagitan nito, mas nagiging mulat kami sa tunay na kalagayan ng bansa. Patuloy ang laban para sa katotohanan at hustisya! ✊✊✊",Threads
,Tapos state witness gusto... Baliw,Threads
